Rank,Brand Name(s),Generic Name,Sales Q1 2014 Sales ($000),Change from Q4 2013,Company(ies),Disease/Medical Use,First Approval Date,Patient Expiration Date
1,Abilify,Aripiprazole,"1,602,329",2.23%,Generic,"Psychosis, mania, and depression",Nov-2002,2014-Oct
2,Humira,Adalimumab,"1,561,861",3.86%,AbbVie,Crohn's disease; Rheumatoid arthritis,Dec-2002,2016-Dec
3,Nexium,Esomeprazole,"1,536,435",0.74%,Generic,Gastrointestinal disorders,Mar-2000,2014-May
4,Crestor,Rosuvastatin,"1,333,502",4.53%,"AstraZeneca, Shionogi",Cholesterol,Nov-2002,2016-Jul
5,Enbrel,Etanercept,"1,189,844",1.46%,Amgen,Rheumatoid arthritis,Nov-1998,2012-Oct
6,"Advair Diskus, Seretide",Fluticasone/salmeterol,"1,147,330",2.65%,GlaxoSmithKline,Asthma,Aug-2000,2012-Mar
8,Remicade,Infliximab,"994,020",-2.71%,"Centocor Ortho Biotech, Inc., Mitsubishi Tanabe Pharma",Crohn's disease; rheumatoid arthritis,Aug-1998,n/a
9,Lantus Solostar,Insulin glargine,"939,691",9.39%,Sanofi-Aventis,Diabetes mellitus type 1 and 2,Apr-2000,2011-Dec
10,Neulasta,Pegfilgrastim,"854,508",-4.90%,Amgen,Neutropenia,Jan-2002,Mon-20XX
11,Copaxone,Glatiramer,"851,351",-4.69%,Generic,Multiple sclerosis,Dec-1996,Nov-2014
12,"Rituxan, MabThera",Rituximab,"746,766",-0.16%,"Biogen Idec, Chugai Pharmaceutical, Genentech/Roche",Non-Hodgkinâ€™s lymphoma; rheumatoid arthritis,Nov-1997,Mon-20XX
13,Spiriva,Tiotropium bromide,"726,057",3.39%,Boehringer Ingelheim,Chronic obstructive pulmonary disease,Apr-2002,2018-Jul
14,Januvia,Sitagliptin,"700,941",3.63%,"Merck & Co., Inc.",Diabetes mellitus type 2,Dec-1996,2017-Nov
15,Lantus,Insulin glargine,"685,461",5.84%,Sanofi-Aventis,Diabetes mellitus type 1 and 2,Apr-2000,Dec-2011
16,Atripla,Emtricitabine/tenofovir/efavirenz,"679,418",0.36%,"Gilead Sciences, Inc.",HIV infection,Dec-1996,Mar-2015
17,Cymbalta,Duloxetine,"664,186",-23.06%,Generic,Depression; anxiety disorders,Aug-2004,Dec-2013
18,Avastin,Bevacizumab,"650,208",-1.25%,Genentech/Roche,Cancer,Feb-2004,Mon-20XX
19,Lyrica,Pregabalin,"624,774",2.82%,Pfizer,Neuropathic pain,Jul-2004,Jul-2019
20,OxyContin,Oxycodone,"585,482",-2.91%,Generic,Pain,Dec-1996,Mon-20XX
21,Celebrex,Celecoxib,"580,332",5.23%,Generic,Osteoarthritis; rheumatoid arthritis,Dec-1998,May-2014
22,Epogen,Epoetin alfa,"503,493",-2.08%,Amgen,Anemia,Jun-1989,Mon-20XX
23,Truvada,Tenofovir/emtricitabine,"542,846",0.03%,Gilead Sciences,HIV infection,Aug-2004,Mon-20XX
24,Diovan,Valsartan,"533,924",-2.80%,Generic,Hypertension,Dec-1996,Sep-2012
25,Levemir,Insulin detemir,"424,186",9.34%,Novo Nordisk,Diabetes mellitus type 1 and 2,Dec-1990,Mon-20XX
26,"Gleevec, Glivec",Imatinib,"498,149",7.22%,Novartis,Leukemia,May-2001,Jan-2015
27,Herceptin,Trastuzumab,"473,632",1.53%,"Chugai Pharmaceutical, Genentech/Roche",Breast cancer,Sep-1998,Mon-20XX
28,Vyvanse,Lisdexamfetamine,"447,188",9.39%,Shire,Attention deficit hyperactivity disorder,Apr-2008,Mon-20XX
29,Lucentis,Ranibizumab,"460,621",-0.84%,Genentech,Macular degeneration,Dec-1990,Mon-20XX
30,Zetia,Ezetimibe,"444,731",4.04%,"Merck & Co., Schering-Plough",Cholesterol,Oct-2002,2017-Oct
31,Combivent,Ipratropium bromide/salbutamol,"391,404",20.28%,Boehringer Ingelheim,Chronic obstructive pulmonary disease,Oct-1996,Mon-20XX
32,Symbicort,Budesonide/formoterol,"407,646",9.63%,AstraZeneca,Asthma,Aug-2000,Mon-20XX
33,Namenda,Memantine,"434,766",-6.00%,Generic,Alzheimer's disease,Oct-2003,Apr-2014 [9]
34,NovoLog FlexPen,Insulin aspart,"364,870",7.84%,Novo Nordisk,Diabetes mellitus type 1 and 2,Oct-1996,Mon-20XX
35,Xarelto,Rivaroxaban,"321,462",18.72%,Bayer,Oral anticoagulant,Dec-1996,Sep-2012
36,NovoLog,Insulin aspart,"344,235",3.86%,Novo Nordisk,Diabetes mellitus type 1 and 2,Oct-1996,Mon-20XX
37,Humalog,Insulin lispro,"304,866",6.15%,Eli Lilly and Company,Diabetes mellitus type 1 and 2,Apr-1996,Mon-20XX
38,Suboxone,Buprenorphine,"321,892",-2.11%,Reckitt Benckiser Pharmaceuticals Inc.,Pain; opioid addiction,Aug-2000,Mon-20XX
40,Viagra,Sildenafil,"300,463",3.26%,Pfizer,Erectile dysfunction,Mar-1998,Mar-2012
41,Seroquel XR,Quetiapine,"291,494",2.22%,Generic,Psychosis; depression,Sep-1997,Mar-2012
33,Incivo,Telaprevir,"370,899",0.00%,Johnson & Johnson,Hepatitis C[citation needed],Dec-1990,Mon-20XX
35,AndroGel,Testosterone gel,"351,737",5.47%,Generic,Low testosterone levels,Oct-2002,Oct-2016
37,Enoxaparin,Enoxaparin,"341,184",6.55%,Generic,Deep-vein thrombosis,Mar-1993,2012-Aug
38,Ritalin,Methylphenidate,"327,346",2.26%,Generic,Attention deficit hyperactivity disorder,Aug-2000,Mon-20XX
41,ProAir HFA,Salbutamol,"306,461",10.87%,Teva Pharmaceuticals,Asthma; chronic obstructive pulmonary disease,Oct-1996,Mon-20XX
43,Alimta,Pemetrexed,"302,728",6.00%,Eli Lilly and Company,Cancer,Feb-2004,Mon-20XX
44,Victoza,Liraglutide,"301,414",9.59%,Novo Nordisk,Diabetes mellitus type 2,May-1909,Mon-20XX
47,Synagis,Palivizumab,"289,704",0.00%,MedImmune,RSV infection,Feb-1998,Aug-2012
48,Avonex,Interferon beta 1a,"281,554",-1.43%,Biogen Idec,Multiple sclerosis,May-1996,Mon-20XX
49,Renvela,Sevelamer,"280,917",21.44%,Generic,Hyperphosphatemia,Apr-2002,Apr-2016 [10]
50,Rebif,Interferon beta 1a,"280,548",-6.27%,Serono,Multiple sclerosis,Feb-1998,Mon-20XX
51,Cialis,Tadalafil,"280,518",4.58%,"Eli Lilly and Company, Lilly Icos",Erectile dysfunction,Nov-2002,2017-Nov
52,Gilenya,fingolimod,"272,701",4.05%,Novartis Corporation,Multiple sclerosis,Feb-2000,2007-Jan
53,Nasonex,Mometasone,"272,345",5.67%,Schering-Plough,Allergic rhinitis,Oct-1997,2018-Oct
54,Stelara,Ustekinumab,"270,598",12.47%,Johnson & Johnson,Psoriasis; psoriatic arthritis,Apr-2000,Mon-20XX
55,Restasis,Ciclosporin ophthalmic emulsion,"268,463",6.30%,"Allergan, Inc, Lilly Icos",Dry eye syndrome,Nov-2002,Mon-20XX
56,Budesonide,Budesonide,"268,201",26.81%,Generic,Asthma,Aug-2000,Mon-20XX
57,Acetaminophen/hydrocodone,Acetaminophen/hydrocodone,"264,814",6.67%,Generic,Pain,Aug-2000,Mon-20XX
58,Flovent HFA,Fluticasone propionate,"263,072",13.97%,GlaxoSmithKline,Asthma,Mar-1996,Mon-20XX
59,Lovaza,Omega-3 fatty acid ethyl esters,"258,177",2.90%,GlaxoSmithKline,Cholesterol,Jun-2001,Mon-20XX
60,Prezista,Darunavir,"251,372",3.54%,Johnson & Johnson,HIV infection,Jun-2006,Mon-20XX
61,Isentress,Raltegravir,"248,924",0.72%,"Merck & Co., Inc.",HIV Infection,Dec-1998,Mon-20XX
62,Janumet,Sitagliptin/metformin,"247,150",4.65%,"Merck & Co., Inc.",Diabetes mellitus type 2,Dec-1998,Mon-20XX
63,"Procrit, Eprex",Epoetin alfa,"241,535",-10.09%,Johnson & Johnson,Anemia,Dec-1990,Mon-20XX
64,Doxycycline,Doxycycline,"241,381",-5.65%,Generic,Bacterial infections,Dec-1996,Nov-2011
65,Orencia,Abatacept,"241,149",1.65%,Bristol-Myers Squibb Company,Rheumatoid arthritis,Aug-2000,Mon-20XX
66,Amphetamine/dextroamphetamine,Amphetamine mixed salts,"240,482",2.78%,Generic,Attention deficit hyperactivity disorder; narcolepsy,Feb-2004,Mon-20XX
67,Vesicare,Solifenacin,"240,435",5.37%,Astellas Pharma US,Overactive bladder,Feb-2000,2018-Nov
68,Dexilant,Dexlansoprazole,"238,897",7.57%,"Takeda Pharmaceuticals North America, Inc",Gastrointestinal disorders,Dec-2004,Jul-2012
69,Humalog KwikPen,Insulin lispro,"238,418",11.02%,Eli Lilly and Company,Diabetes mellitus type 1 and 2,Apr-1996,Mon-20XX
70,Neupogen,Filgrastim,"229,912",-2.70%,Amgen,Neutropenia,Feb-1991,Mon-20XX
71,Lidocaine,Lidocaine,"225,903",0.00%,Generic,Pain,Mar-1999,Mon-20XX
72,Lunesta,Eszopiclone,"225,101",5.24%,Generic,Insomnia,Dec-2004,April-2015
73,Fenofibrate,Fenofibrate,"223,300",-2.22%,Generic,Cholesterol,Feb-1998,Mon-20XX
74,Zytiga,Abiraterone,"222,026",11.86%,"Janssen Biotech, Inc.",Prostate Cancer,Dec-1998,April-2015
75,Reyataz,Atazanavir,"217,793",-1.38%,Bristol-Myers Squibb,HIV infection,Jan-2003,Mon-20XX
76,Sensipar,Cinacalcet,"216,657",13.71%,Amgen Inc.,Hyperparathyroidism,Apr-2000,Mon-20XX
77,Metoprolol,Metoprolol,"215,111",2.99%,Generic,Hypertension,Jan-1992,Mon-20XX
78,AcipHex,Rabeprazole,"214,251",10.03%,"Janssen Pharmaceuticals, Inc, Johnson & Johnson",Gastrointestinal disorders,Aug-1999,Nov-2013
79,Synthroid,Levothyroxine,"213,424",-2.50%,Generic,Hypothyroidism,May-1999,Expired
80,Avonex Pen,Olmesartan,"211,917",13.59%,"Biogen Idec, Forest Laboratories",Hypertension,Apr-2002,Apr-2016
81,Prevnar 13,Pneumococcal conjugate vaccine,"209,367",6.41%,Pfizer,Pneumococcal disease,Feb-2000,Jan-2007
82,Xolair,Omalizumab,"207,891",1.91%,"Genentech, Novartis",Asthma,2003,Mon-20XX
83,Lipitor,Atorvastatin,"207,542",4.23%,Generic,Cholesterol,Dec-1996,Nov-2011 [12]
84,levothyroxine,Levothyroxine,"204,755",0.00%,Generic,Hypothyroidism,Aug-1990,Mon-20XX
85,Benicar,Olmesartan/hydrochlorothiazide,"203,336",3.22%,Daiichi Sankyo,Hypertension,Jun-1909,Mon-2016
86,Stribild,Elvitegravir/cobicistat/emtricitabine/tenofovir,"202,642",0.00%,Gilead Sciences,HIV/AIDS,Apr-2000,Mon-20XX[13]
87,Zostavax,Zostavax,"202,240",15.17%,"Eisai, Merck & Co.",Herpes zoster,Aug-1999,May-2013
88,Pradaxa,Dabigatran,"200,697",-0.53%,"Boehringer Ingelheim, Lilly Icos",Oral anticoagulant,Oct-2010,Mon-20XX
89,Vytorin,Ezetimibe/simvastatin,"199,625",-3.02%,"Merck & Co., Schering-Plough",Cholesterol,Jul-2004,Mon-20XX
90,Tamiflu,Oseltamivir,"197,718",0.00%,"Chugai Pharmaceutical, Hetero Drugs, Roche",Influenza,Oct-1999,Mon-20XX
91,Xgeva,Denosumab,"197,711",3.24%,Amgen,Osteoporosis,Nov-2010,Mon-20XX
92,Evista,Raloxifene,"196,929",-4.31%,"Eli Lilly and Company, Chugai Pharmaceutical",Osteoporosis,Dec-1997,Jan-2013
93,Xeloda,Capecitabine,"194,044",6.52%,Generic,Cancer,Jun-1909,Mon-20XX [14]
94,Aranesp,Darbepoetin alfa,"185,225",-9.22%,Amgen Inc.,Anemia,Jun-2001,Mon-20XX
95,Ventolin HFA,Salbutamol,"183,060",0.00%,GlaxoSmithKline,Asthma; chronic obstructive pulmonary disease,May-1981,Mon-20XX
96,divalproex sodium,Valproate,"181,554",0.00%,Generic,Epilepsy and bipolar disorder [15],Jun-1909,Mon-20XX
97,Afinitor,Everolimus,"180,719",0.03%,Novartis,Cancer,Jun-1909,Mon-20XX
98,"Betaseron, Betaferon",Interferon beta 1b,"179,216",-3.72%,Bayer,Multiple sclerosis,Jul-1993,Mon-20XX
99,Adderall XR,Amphetamine mixed salts,"177,505",3.31%,Generic,Attention deficit hyperactivity disorder,Oct-2001,Mon-20XX
100,Complera,Emtricitabine/Rilpivirine/Tenofovir disoproxil fumarate,"174,933",0.00%,"Gilead Sciences, Inc.",HIV,Jun-20XX,Mon-20XX
